Gm#,Date,,Tm,AwayTeam,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,HomeGame,Index,year
9,201704130,boxscore,DET,MIN,L,5,11,,6-3,1, Tied,Hughes,Zimmermann,Haley,3:31,D,"22,573",-,True,134,2017
9,201704130,boxscore,CHC,LAD,W,4,0,,6-3,2, 0.5,Anderson,Ryu,,3:01,D,"38,379",+,True,135,2017
9,201704130,boxscore,NYY,TBR,W,3,2,,5-4,2, 1.5,Severino,Cedeno,Chapman,2:59,N,"34,772",++++,True,136,2017
10,201704130,boxscore,LAA,TEX,L,3,8,,6-4,1, Tied,Darvish,Nolasco,,3:14,D,"30,255",--,True,137,2017
9,201704130,boxscore,TOR,BAL,L,1,2,,1-8,5, 5.5,Gausman,Liriano,Britton,2:45,N,"32,957",------,True,138,2017
9,201704130,boxscore,CLE,CHW,L,4,10,,4-5,4, 2.0,Swarzak,Tomlin,,3:32,N,"15,060",--,True,139,2017
9,201704130,boxscore,BOS,PIT,W,4,3,,5-4,2, 1.5,Barnes,Nicasio,Kimbrel,3:15,D,"32,400",+,True,140,2017
10,201704140,boxscore,TOR,BAL,L,4,6,,1-9,5, 6.5,Miley,Sanchez,Britton,3:18,N,"39,547",-------,True,141,2017
10,201704140,boxscore,KCR,LAA,W,7,1,,4-6,4, 3.0,Duffy,Ramirez,,2:37,N,"26,838",++,True,142,2017
10,201704140,boxscore,MIN,CHW,L,1,2,,6-4,2, 1.0,Jennings,Pressly,Robertson,3:06,N,"18,466",-,True,143,2017
10,201704140,boxscore,CLE,DET,L,6,7,,4-6,4, 3.0,Norris,Bauer,Rodriguez,4:00,N,"25,423",---,True,144,2017
12,201704140,boxscore,SFG,COL,W,8,2,,5-7,5, 2.5,Cueto,Anderson,,2:49,N,"42,738",+,True,145,2017
10,201704140,boxscore,CHC,PIT,L,2,4,,6-4,2, 0.5,Cole,Hendricks,Watson,3:15,D,"40,430",-,True,146,2017
11,201704140,boxscore,LAD,ARI,W,7,1,,6-5,3, 1.0,Kershaw,Greinke,,3:06,N,"49,438",+,True,147,2017
10,201704140,boxscore,BOS,TBR,L,5,10,,5-5,4, 2.5,Archer,Porcello,,3:37,N,"36,813",-,True,148,2017
11,201704140,boxscore,CIN,MIL,L,4,10,,7-4,1,up 0.5,Milone,Wood,,3:21,N,"23,850",--,True,149,2017
10,201704140,boxscore,MIA,NYM,W-wo,3,2,,5-5,3, 1.5,Ramos,Edgin,,3:26,N,"24,194",+,True,150,2017
11,201704140,boxscore,SEA,TEX,W,2,1,,3-8,5, 4.0,Hernandez,Leclerc,Diaz,3:05,N,"41,855",+,True,151,2017
9,201704140,boxscore,ATL,SDP,W,5,2,,3-6,4, 3.0,Teheran,Chacin,Johnson,2:57,N,"41,149",++,True,152,2017
10,201704140,boxscore,NYY,STL,W,4,3,,6-4,2, 1.5,Tanaka,Wacha,Chapman,2:54,N,"39,102",+++++,True,153,2017
11,201704140,boxscore,OAK,HOU,L,2,7,,5-6,3, 2.0,Keuchel,Madson,,3:07,N,"15,385",--,True,154,2017
10,201704140,boxscore,WSN,PHI,W-wo,3,2,10,6-4,2, 0.5,Kelley,Gomez,,3:18,D,"38,664",+,True,155,2017
11,201704150,boxscore,BOS,TBR,W,2,1,,6-5,3, 1.5,Sale,Hunter,Kimbrel,2:54,D,"36,686",+,True,156,2017
11,201704150,boxscore,NYY,STL,W,3,2,,7-4,2, 0.5,Sabathia,Martinez,Clippard,3:05,D,"43,031",++++++,True,157,2017
12,201704150,boxscore,SEA,TEX,W,5,0,,4-8,5, 4.0,Paxton,Cashner,,2:24,N,"34,927",++,True,158,2017
11,201704150,boxscore,TOR,BAL,W-wo,2,1,,2-9,5, 5.5,Osuna,Wilson,,2:39,D,"40,743",+,True,159,2017
10,201704150,boxscore,ATL,SDP,W,4,2,,4-6,4, 2.0,Dickey,Richard,Johnson,2:20,N,"41,149",+++,True,160,2017
12,201704150,boxscore,CIN,MIL,W,7,5,,8-4,1,up 1.5,Iglesias,Torres,Lorenzen,3:10,D,"31,008",+,True,161,2017
11,201704150,boxscore,CLE,DET,W,13,6,,5-6,4, 2.0,Kluber,Verlander,,3:36,D,"26,691",+,True,162,2017
11,201704150,boxscore,KCR,LAA,W,3,2,,5-6,4, 2.0,Soria,Alvarez,Herrera,3:16,N,"24,162",+++,True,163,2017
11,201704150,boxscore,MIA,NYM,W,5,4,,6-5,2, 0.5,Tazawa,Salas,Ramos,2:30,N,"25,137",++,True,164,2017
11,201704150,boxscore,WSN,PHI,L,2,4,,6-5,2, 0.5,Hellickson,Blanton,Benoit,2:39,D,"35,626",-,True,165,2017
12,201704150,boxscore,LAD,ARI,W,8,4,,7-5,2, 0.5,Wood,Corbin,Jansen,3:03,N,"48,070",++,True,166,2017
12,201704150,boxscore,OAK,HOU,L,6,10,,5-7,3, 3.0,Harris,Casilla,,3:55,D,"20,140",---,True,167,2017
11,201704150,boxscore,CHC,PIT,L,7,8,,6-5,2, 1.5,Williams,Strop,Watson,3:25,D,"41,814",--,True,168,2017
13,201704150,boxscore,SFG,COL,L,0,5,,5-8,5, 3.0,Chatwood,Moore,,2:26,D,"42,371",-,True,169,2017
11,201704150,boxscore,MIN,CHW,W,6,0,,7-4,1, Tied,Santana,Quintana,,2:26,D,"25,938",+,True,170,2017
12,201704160,boxscore,CLE,DET,L,1,4,,5-7,5, 3.0,Boyd,Carrasco,Rodriguez,3:15,D,"17,739",-,True,171,2017
12,201704160,boxscore,KCR,LAA,W-wo,1,0,,6-6,4, 2.0,Herrera,Parker,,2:37,D,"27,950",++++,True,172,2017
